step,6576logit,91logit
0,1.203125,19.0
0,1.7890625,16.75
0,0.6015625,17.5
0,-1.0,18.75
0,1.203125,19.0
0,1.7890625,16.75
0,2.9375,17.0
0,0.83984375,18.0
0,3.765625,17.125
0,0.50390625,17.125
0,2.546875,20.5
0,0.03955078125,20.625
0,0.83984375,18.0
0,0.50390625,17.125
0,0.6015625,17.5
0,-1.0,18.75
0,1.1640625,19.5
0,1.1640625,19.5
0,1.1640625,19.5
0,1.1640625,19.5
0,1.1640625,19.5
0,2.546875,20.5
0,2.546875,20.5
0,2.546875,20.5
0,2.546875,20.5
0,2.546875,20.5
0,0.255859375,22.5
0,0.255859375,22.5
0,0.255859375,22.5
0,0.255859375,22.5
0,0.255859375,22.5
0,2.671875,18.75
0,2.671875,18.75
0,2.671875,18.75
0,2.671875,18.75
0,2.671875,18.75
0,3.265625,14.625
0,3.265625,14.625
0,3.265625,14.625
0,3.265625,14.625
0,3.265625,14.625
0,1.0234375,16.75
0,1.0234375,16.75
0,1.0234375,16.75
0,1.0234375,16.75
0,1.0234375,16.75
0,4.3125,18.0
0,4.3125,18.0
0,4.3125,18.0
0,4.3125,18.0
0,4.3125,18.0
0,1.1796875,18.875
0,1.1796875,18.875
0,1.1796875,18.875
0,1.1796875,18.875
0,1.1796875,18.875
0,-0.421875,17.875
0,-0.421875,17.875
0,-0.421875,17.875
0,-0.421875,17.875
0,-0.421875,17.875
0,-0.416015625,17.0
0,-0.416015625,17.0
0,-0.416015625,17.0
0,-0.416015625,17.0
0,-0.416015625,17.0
0,2.984375,21.875
0,2.984375,21.875
0,2.984375,21.875
0,2.984375,21.875
0,2.984375,21.875
0,2.765625,16.625
0,2.765625,16.625
0,2.765625,16.625
0,2.765625,16.625
0,2.765625,16.625
0,0.291015625,18.375
0,0.291015625,18.375
0,0.291015625,18.375
0,0.291015625,18.375
0,0.291015625,18.375
0,3.328125,21.0
0,3.328125,21.0
0,3.328125,21.0
0,3.328125,21.0
0,3.328125,21.0
0,1.3671875,17.25
0,1.3671875,17.25
0,1.3671875,17.25
0,1.3671875,17.25
0,1.3671875,17.25
0,1.2109375,16.375
0,1.2109375,16.375
0,1.2109375,16.375
0,1.2109375,16.375
0,1.2109375,16.375
0,0.68359375,17.25
0,0.68359375,17.25
0,0.68359375,17.25
0,0.68359375,17.25
0,0.68359375,17.25
0,-1.09375,18.0
0,-1.09375,18.0
0,-1.09375,18.0
0,-1.09375,18.0
0,1.0234375,17.5
0,1.0234375,17.5
0,1.0234375,17.5
0,1.0234375,17.5
0,1.0234375,17.5
0,2.546875,15.9375
0,2.546875,15.9375
0,2.546875,15.9375
0,2.546875,15.9375
0,2.546875,15.9375
0,2.484375,17.625
0,2.484375,17.625
0,2.484375,17.625
0,2.484375,17.625
0,2.484375,17.625
0,-0.439453125,16.0
0,-0.439453125,16.0
0,-0.439453125,16.0
0,-0.439453125,16.0
0,-0.439453125,16.0
0,-0.96484375,16.125
0,-0.96484375,16.125
0,-0.96484375,16.125
0,-0.96484375,16.125
0,-0.96484375,16.125
0,-1.4765625,18.25
0,-1.4765625,18.25
0,-1.4765625,18.25
0,-1.4765625,18.25
0,-1.4765625,18.25
0,3.09375,16.0
0,3.09375,16.0
0,3.09375,16.0
0,3.09375,16.0
0,3.09375,16.0
0,-0.380859375,17.25
0,-0.380859375,17.25
0,-0.380859375,17.25
0,-0.380859375,17.25
0,-0.380859375,17.25
0,2.96875,14.5
0,2.96875,14.5
0,2.96875,14.5
0,2.96875,14.5
0,2.96875,14.5
0,-0.58984375,19.5
0,-0.58984375,19.5
0,-0.58984375,19.5
0,-0.58984375,19.5
0,-0.58984375,19.5
0,-0.25,18.875
0,-0.25,18.875
0,-0.25,18.875
0,-0.25,18.875
0,-0.25,18.875
0,3.171875,14.625
0,3.171875,14.625
0,3.171875,14.625
0,3.171875,14.625
0,3.171875,14.625
0,2.015625,17.125
0,2.015625,17.125
0,2.015625,17.125
0,2.015625,17.125
0,2.015625,17.125
0,-0.64453125,18.25
0,-0.64453125,18.25
0,-0.64453125,18.25
0,-0.64453125,18.25
0,-0.64453125,18.25
0,1.4375,18.75
0,1.4375,18.75
0,1.4375,18.75
0,1.4375,18.75
0,1.4375,18.75
0,4.59375,16.625
0,4.59375,16.625
0,4.59375,16.625
0,4.59375,16.625
0,4.59375,16.625
0,4.4375,16.0
0,4.4375,16.0
0,4.4375,16.0
0,4.4375,16.0
0,4.4375,16.0
0,1.3828125,18.75
0,1.3828125,18.75
0,-1.0625,18.0
0,-1.0625,18.0
0,-1.0625,18.0
0,-1.0625,18.0
0,-1.0625,18.0
0,3.03125,21.75
0,3.03125,21.75
0,3.03125,21.75
0,3.03125,21.75
0,3.03125,21.75
0,4.75,19.375
0,4.75,19.375
0,4.75,19.375
0,4.75,19.375
0,4.75,19.375
0,3.140625,20.75
0,3.140625,20.75
0,3.140625,20.75
0,3.140625,20.75
0,3.140625,20.75
0,0.197265625,17.5
0,0.197265625,17.5
0,0.197265625,17.5
0,0.197265625,17.5
0,0.197265625,17.5
0,2.90625,15.5
0,2.90625,15.5
0,2.90625,15.5
0,2.90625,15.5
0,-1.2421875,16.25
0,-1.2421875,16.25
0,-1.2421875,16.25
0,-1.2421875,16.25
0,-1.2421875,16.25
